FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E06000025,2019,Rank of average rank,,271,e. Health Deprivation and Disability Domain
E06000025,2019,Rank of average rank,,243,i. Income Deprivation Affecting Children Index (IDACI)
E06000025,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,181,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000025,2019,Average Rank,,14935.42,g. Barriers to Housing and Services Domain
E06000025,2019,Average Score,,0.074,b. Income Deprivation Domain
E06000025,2019,Average Rank,,9522.4,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000024,2019,Average Score,,0.09,c. Employment Deprivation Domain
E06000024,2019,Rank of average rank,,230,g. Barriers to Housing and Services Domain
E06000024,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.037,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000024,2019,Average Rank,,13627.32,g. Barriers to Housing and Services Domain
E06000024,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,114,a. Index of Multiple Deprivation (IMD)
E06000024,2019,Average Rank,,11067.19,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000024,2019,Average Rank,,14286.77,"d. Education, Skills and Training Domain"
E06000024,2019,Rank of average score,,200,"d. Education, Skills and Training Domain"
E06000024,2019,Average Rank,,14344.49,c. Employment Deprivation Domain
E06000024,2019, Local concentration,,30424.94,a. Index of Multiple Deprivation (IMD)
E06000024,2019,Average Score,,0.101,b. Income Deprivation Domain
E06000053,2019,Rank of average rank,,317,e. Health Deprivation and Disability Domain
E06000053,2019,Average Score,,0.05,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000053,2019,Average Score,,0.019,c. Employment Deprivation Domain
E06000053,2019,Rank of average score,,317,b. Income Deprivation Domain
E06000053,2019,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E06000053,2019,Rank of average rank,,268,"d. Education, Skills and Training Domain"
E06000053,2019,Rank of scale,,317,c. Employment Deprivation Domain
E06000053,2019,Rank of average rank,,317,b. Income Deprivation Domain
E06000053,2019,Rank of average score,,317,c. Employment Deprivation Domain
E06000053,2019,Rank of average rank,,317,i. Income Deprivation Affecting Children Index (IDACI)
E06000053,2019,Rank of average rank,,153,g. Barriers to Housing and Services Domain
E06000053,2019,Average Score,,12.005,a. Index of Multiple Deprivation (IMD)
E06000053,2019,Average Rank,,16877,g. Barriers to Housing and Services Domain
E06000053,2019,Average Rank,,523,c. Employment Deprivation Domain
E06000053,2019,Average Score,,0.032,i. Income Deprivation Affecting Children Index (IDACI)
E06000053,2019,Rank of average score,,1,h. Living Environment Deprivation Domain
E06000053,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,201,b. Income Deprivation Domain
E06000053,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,i. Income Deprivation Affecting Children Index (IDACI)
E06000053,2019,Rank of average score,,317,i. Income Deprivation Affecting Children Index (IDACI)
E06000053,2019,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E06000053,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,173,e. Health Deprivation and Disability Domain
E06000053,2019,Rank of average rank,,245,a. Index of Multiple Deprivation (IMD)
E06000053,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,g. Barriers to Housing and Services Domain
E06000054,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0035,a. Index of Multiple Deprivation (IMD)
E06000054,2019,Average Rank,,14285.74,"d. Education, Skills and Training Domain"
E06000054,2019,Rank of average rank,,206,"d. Education, Skills and Training Domain"
E06000054,2019,Average Score,,-0.587,e. Health Deprivation and Disability Domain
E06000054,2019,Average Score,,-0.532,f. Crime Domain
E06000054,2019,Rank of average score,,233,c. Employment Deprivation Domain
E06000054,2019,Rank of average score,,241,b. Income Deprivation Domain
E06000054,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,226,i. Income Deprivation Affecting Children Index (IDACI)
E06000054,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.007,c. Employment Deprivation Domain
E06000054,2019,Average Score,,17.66,h. Living Environment Deprivation Domain
E06000054,2019,Average Score,,0.087,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000054,2019,Rank of average rank,,231,a. Index of Multiple Deprivation (IMD)
E06000054,2019,Average Rank,,11292.46,b. Income Deprivation Domain
E06000054,2019,Rank of average rank,,187,h. Living Environment Deprivation Domain
E06000054,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0596,h. Living Environment Deprivation Domain
E06000053,2019,Average Rank,,3656,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000054,2019,Rank of average score,,85,g. Barriers to Housing and Services Domain
E06000054,2019,Average Rank,,9515.19,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000054,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,173,e. Health Deprivation and Disability Domain
E06000054,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,137,h. Living Environment Deprivation Domain
E06000054,2019,Rank of extent,,226,a. Index of Multiple Deprivation (IMD)
E06000054,2019,Rank of average score,,249,i. Income Deprivation Affecting Children Index (IDACI)
E06000053,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,201,f. Crime Domain
E06000053,2019,Average Rank,,29,e. Health Deprivation and Disability Domain
E06000053,2019,Rank of average score,,179,g. Barriers to Housing and Services Domain
E06000053,2019,Average Rank,,10680,a. Index of Multiple Deprivation (IMD)
E06000053,2019,Average Score,,20.576,g. Barriers to Housing and Services Domain
E06000053,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,1,h. Living Environment Deprivation Domain
E06000053,2019,Average Rank,,32647,h. Living Environment Deprivation Domain
E06000053,2019,Rank of average rank,,317,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000053,2019,Average Score,,-2.625,e. Health Deprivation and Disability Domain
E06000053,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,228,i. Income Deprivation Affecting Children Index (IDACI)
E06000053,2019,Rank of average score,,258,a. Index of Multiple Deprivation (IMD)
E06000053,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,e. Health Deprivation and Disability Domain
E06000053,2019,Average Score,,66.667,h. Living Environment Deprivation Domain
E06000053,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000053,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,a. Index of Multiple Deprivation (IMD)
E06000053,2019,Rank of average rank,,317,c. Employment Deprivation Domain
E06000053,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,243,"d. Education, Skills and Training Domain"
E06000053,2019,Rank of average score,,317,e. Health Deprivation and Disability Domain
E06000053,2019,Rank of average score,,317,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000053,2019,Average Score,,0.029,b. Income Deprivation Domain
E06000053,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,c. Employment Deprivation Domain
E06000053,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,1,h. Living Environment Deprivation Domain
E06000053,2019,Rank of average rank,,1,h. Living Environment Deprivation Domain
E06000053,2019,Scale,,24.75,c. Employment Deprivation Domain
E06000053,2019, Local concentration,,10680,a. Index of Multiple Deprivation (IMD)
E06000053,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,"d. Education, Skills and Training Domain"
E06000053,2019,Scale,,68,b. Income Deprivation Domain
E06000053,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,b. Income Deprivation Domain
E06000053,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,f. Crime Domain
E06000053,2019,Average Rank,,2485,i. Income Deprivation Affecting Children Index (IDACI)
E06000053,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,250,g. Barriers to Housing and Services Domain
E06000053,2019,Rank of average score,,282,f. Crime Domain
E06000053,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,209,c. Employment Deprivation Domain
E06000053,2019,Rank of local concentration,,317,a. Index of Multiple Deprivation (IMD)
E06000053,2019,Average Rank,,1920,b. Income Deprivation Domain
E06000053,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,195,a. Index of Multiple Deprivation (IMD)
E06000053,2019,Average Score,,-0.778,f. Crime Domain
E06000053,2019,Average Score,,9.671,"d. Education, Skills and Training Domain"
E06000053,2019,Rank of scale,,317,b. Income Deprivation Domain
E06000053,2019,Rank of average rank,,295,f. Crime Domain
E06000053,2019,Average Rank,,10656,"d. Education, Skills and Training Domain"
E06000053,2019,Rank of average score,,287,"d. Education, Skills and Training Domain"
E06000053,2019,Average Rank,,5765,f. Crime Domain
E06000053,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,181,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000055,2019,Extent,,0.1328,a. Index of Multiple Deprivation (IMD)
E06000055,2019,Rank of average score,,141,b. Income Deprivation Domain
E06000055,2019,Average Rank,,15145.33,f. Crime Domain
E06000055,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,206,"d. Education, Skills and Training Domain"
E06000055,2019,Rank of scale,,120,c. Employment Deprivation Domain
E06000055,2019, Local concentration,,29286.44,a. Index of Multiple Deprivation (IMD)
E06000055,2019,Average Score,,18.932,a. Index of Multiple Deprivation (IMD)
E06000055,2019,Average Score,,19.05,"d. Education, Skills and Training Domain"
E06000055,2019,Rank of average rank,,149,b. Income Deprivation Domain
E06000055,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,87,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000055,2019,Average Rank,,15995.99,h. Living Environment Deprivation Domain
E06000055,2019,Scale,,8616.5,c. Employment Deprivation Domain
E06000055,2019,Average Score,,-0.116,f. Crime Domain
E06000055,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,144,b. Income Deprivation Domain
E06000054,2019,Scale,,17583.25,c. Employment Deprivation Domain
E06000054,2019,Average Score,,16.99,"d. Education, Skills and Training Domain"
E06000054,2019,Scale,,37853,b. Income Deprivation Domain
E06000055,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0388,f. Crime Domain
E06000055,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0388,a. Index of Multiple Deprivation (IMD)
E06000055,2019,Rank of average rank,,149,f. Crime Domain
E06000055,2019,Rank of average rank,,79,g. Barriers to Housing and Services Domain
E06000055,2019,Rank of average score,,149,c. Employment Deprivation Domain
E06000055,2019,Average Rank,,15685.81,c. Employment Deprivation Domain
E06000055,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,136,c. Employment Deprivation Domain
E06000055,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0097,i. Income Deprivation Affecting Children Index (IDACI)
E06000055,2019,Rank of average rank,,158,e. Health Deprivation and Disability Domain
E06000055,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0194,"d. Education, Skills and Training Domain"
E06000055,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,136,a. Index of Multiple Deprivation (IMD)
E06000055,2019,Average Score,,0.151,i. Income Deprivation Affecting Children Index (IDACI)
E06000055,2019,Average Rank,,12038.23,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000055,2019,Average Rank,,15675.57,b. Income Deprivation Domain
E06000055,2019,Rank of average rank,,139,i. Income Deprivation Affecting Children Index (IDACI)
E06000055,2019,Average Rank,,17028.94,i. Income Deprivation Affecting Children Index (IDACI)
E06000055,2019,Average Rank,,19576.86,g. Barriers to Housing and Services Domain
E06000055,2019,Rank of average rank,,137,h. Living Environment Deprivation Domain
E06000055,2019,Rank of average rank,,167,"d. Education, Skills and Training Domain"
E06000055,2019,Rank of average rank,,156,a. Index of Multiple Deprivation (IMD)
E06000055,2019,Scale,,18866,b. Income Deprivation Domain
E06000055,2019,Rank of average score,,143,h. Living Environment Deprivation Domain
E06000055,2019,Rank of extent,,140,a. Index of Multiple Deprivation (IMD)
E06000055,2019,Rank of average score,,148,i. Income Deprivation Affecting Children Index (IDACI)
E06000055,2019,Rank of average score,,159,"d. Education, Skills and Training Domain"
E06000055,2019,Rank of average score,,155,f. Crime Domain
E06000055,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,98,e. Health Deprivation and Disability Domain
E06000054,2019,Rank of average score,,198,"d. Education, Skills and Training Domain"
E06000054,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0456,"d. Education, Skills and Training Domain"
E06000054,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,76,g. Barriers to Housing and Services Domain
E06000054,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.007,f. Crime Domain
E06000054,2019,Rank of average score,,252,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000054,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,200,b. Income Deprivation Domain
E06000054,2019,Rank of average rank,,235,e. Health Deprivation and Disability Domain
E06000054,2019, Local concentration,,24617.67,a. Index of Multiple Deprivation (IMD)
E06000054,2019,Average Score,,0.102,i. Income Deprivation Affecting Children Index (IDACI)
E06000054,2019,Rank of average rank,,237,b. Income Deprivation Domain
E06000054,2019,Rank of average score,,238,f. Crime Domain
E06000054,2019,Rank of average score,,176,h. Living Environment Deprivation Domain
E06000054,2019,Rank of scale,,54,b. Income Deprivation Domain
E06000054,2019,Average Score,,0.078,b. Income Deprivation Domain
E06000054,2019,Rank of average rank,,247,i. Income Deprivation Affecting Children Index (IDACI)
E06000054,2019,Rank of average rank,,95,g. Barriers to Housing and Services Domain
E06000054,2019,Average Rank,,11283.51,c. Employment Deprivation Domain
E06000054,2019,Rank of average rank,,240,f. Crime Domain
E06000054,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,171,"d. Education, Skills and Training Domain"
E06000054,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,180,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000054,2019,Average Rank,,9875.94,f. Crime Domain
E06000054,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,194,a. Index of Multiple Deprivation (IMD)
E06000054,2019,Average Score,,24.622,g. Barriers to Housing and Services Domain
E06000054,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1404,g. Barriers to Housing and Services Domain
E06000054,2019,Average Rank,,9250.61,e. Health Deprivation and Disability Domain
E06000054,2019,Rank of scale,,52,c. Employment Deprivation Domain
E06000054,2019,Rank of average score,,235,e. Health Deprivation and Disability Domain
E06000054,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,199,f. Crime Domain
E06000054,2019,Average Rank,,11265.53,a. Index of Multiple Deprivation (IMD)
E06000054,2019,Average Score,,13.447,a. Index of Multiple Deprivation (IMD)
E06000054,2019,Rank of average rank,,248,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000054,2019,Average Rank,,19001.73,g. Barriers to Housing and Services Domain
E06000054,2019,Average Score,,0.065,c. Employment Deprivation Domain
E06000054,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.007,i. Income Deprivation Affecting Children Index (IDACI)
E06000054,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,201,c. Employment Deprivation Domain
E06000054,2019,Average Rank,,12060.19,i. Income Deprivation Affecting Children Index (IDACI)
E06000054,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0035,b. Income Deprivation Domain
E06000054,2019,Rank of average score,,233,a. Index of Multiple Deprivation (IMD)
E06000054,2019,Average Rank,,13712.28,h. Living Environment Deprivation Domain
E06000054,2019,Rank of local concentration,,226,a. Index of Multiple Deprivation (IMD)
E06000054,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,e. Health Deprivation and Disability Domain
E06000054,2019,Extent,,0.0288,a. Index of Multiple Deprivation (IMD)
E06000054,2019,Rank of average rank,,235,c. Employment Deprivation Domain
E06000054,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0035,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000051,2019,Average Score,,17.851,"d. Education, Skills and Training Domain"
E06000051,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.057,"d. Education, Skills and Training Domain"
E06000051,2019,Rank of average rank,,182,"d. Education, Skills and Training Domain"
E06000051,2019,Average Score,,25.498,g. Barriers to Housing and Services Domain
E06000051,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0104,a. Index of Multiple Deprivation (IMD)
E06000051,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,f. Crime Domain
E06000051,2019,Rank of average score,,68,g. Barriers to Housing and Services Domain
E06000051,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,156,"d. Education, Skills and Training Domain"
E06000051,2019,Average Rank,,9485.4,f. Crime Domain
E06000051,2019,Average Rank,,13137.26,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000051,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0104,c. Employment Deprivation Domain
E06000051,2019,Average Rank,,14159.78,b. Income Deprivation Domain
E06000051,2019,Average Rank,,18718.35,g. Barriers to Housing and Services Domain
E06000051,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,181,a. Index of Multiple Deprivation (IMD)
E06000051,2019,Scale,,13177.75,c. Employment Deprivation Domain
E06000051,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2435,g. Barriers to Housing and Services Domain
E06000051,2019,Rank of average rank,,102,g. Barriers to Housing and Services Domain
E06000051,2019,Rank of average rank,,192,e. Health Deprivation and Disability Domain
E06000051,2019,Rank of average score,,184,"d. Education, Skills and Training Domain"
E06000051,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,30,g. Barriers to Housing and Services Domain
E06000051,2019,Rank of average rank,,76,h. Living Environment Deprivation Domain
E06000051,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0155,b. Income Deprivation Domain
E06000051,2019,Average Score,,-0.348,e. Health Deprivation and Disability Domain
E06000051,2019,Rank of average rank,,165,a. Index of Multiple Deprivation (IMD)
E06000051,2019,Average Score,,28.49,h. Living Environment Deprivation Domain
E06000051,2019,Rank of extent,,204,a. Index of Multiple Deprivation (IMD)
E06000051,2019,Rank of average score,,59,h. Living Environment Deprivation Domain
E06000051,2019,Average Rank,,15168.47,"d. Education, Skills and Training Domain"
E06000051,2019,Scale,,29749,b. Income Deprivation Domain
E06000051,2019,Average Score,,0.078,c. Employment Deprivation Domain
E06000051,2019,Rank of average rank,,182,b. Income Deprivation Domain
E06000051,2019,Rank of average score,,187,c. Employment Deprivation Domain
E06000051,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,177,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000051,2019,Average Score,,-0.576,f. Crime Domain
E06000051,2019,Average Score,,0.096,b. Income Deprivation Domain
E06000051,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,32,h. Living Environment Deprivation Domain
E06000051,2019,Average Score,,17.153,a. Index of Multiple Deprivation (IMD)
E06000051,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2383,h. Living Environment Deprivation Domain
E06000051,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,201,f. Crime Domain
E06000051,2019,Rank of average score,,174,a. Index of Multiple Deprivation (IMD)
E06000051,2019,Extent,,0.0426,a. Index of Multiple Deprivation (IMD)
E06000051,2019,Average Rank,,14280.63,c. Employment Deprivation Domain
E06000051,2019,Rank of average rank,,178,c. Employment Deprivation Domain
E06000051,2019,Average Rank,,19793.08,h. Living Environment Deprivation Domain
E06000050,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0755,a. Index of Multiple Deprivation (IMD)
E06000050,2019,Rank of average score,,172,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000050,2019,Rank of average score,,159,b. Income Deprivation Domain
E06000050,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,81,e. Health Deprivation and Disability Domain
E06000050,2019,Average Rank,,12973.78,f. Crime Domain
E06000050,2019,Rank of average score,,257,g. Barriers to Housing and Services Domain
E06000050,2019, Local concentration,,30211.25,a. Index of Multiple Deprivation (IMD)
E06000050,2019,Rank of average score,,127,c. Employment Deprivation Domain
E06000050,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,135,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000050,2019,Average Rank,,13573.54,"d. Education, Skills and Training Domain"
E06000050,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,89,c. Employment Deprivation Domain
E06000050,2019,Rank of average rank,,201,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000050,2019,Average Score,,16.288,g. Barriers to Housing and Services Domain
E06000050,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1085,"d. Education, Skills and Training Domain"
E06000050,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,185,g. Barriers to Housing and Services Domain
E06000050,2019,Rank of average score,,116,e. Health Deprivation and Disability Domain
E06000050,2019,Scale,,36002,b. Income Deprivation Domain
E06000050,2019,Average Rank,,13927.46,b. Income Deprivation Domain
E06000050,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0283,f. Crime Domain
E06000050,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,101,"d. Education, Skills and Training Domain"
E06000050,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,99,b. Income Deprivation Domain
E06000050,2019,Average Score,,18.227,"d. Education, Skills and Training Domain"
E06000050,2019,Rank of average rank,,197,f. Crime Domain
E06000050,2019,Rank of average rank,,183,a. Index of Multiple Deprivation (IMD)
E06000050,2019,Rank of average score,,158,h. Living Environment Deprivation Domain
E06000050,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0802,b. Income Deprivation Domain
E06000050,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0896,i. Income Deprivation Affecting Children Index (IDACI)
E06000050,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0283,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000051,2019,Average Score,,0.12,i. Income Deprivation Affecting Children Index (IDACI)
E06000051,2019, Local concentration,,25796.55,a. Index of Multiple Deprivation (IMD)
E06000051,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,189,c. Employment Deprivation Domain
E06000050,2019,Rank of average rank,,120,e. Health Deprivation and Disability Domain
E06000051,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0207,i. Income Deprivation Affecting Children Index (IDACI)
E06000050,2019,Average Score,,0.108,b. Income Deprivation Domain
E06000050,2019,Rank of scale,,57,b. Income Deprivation Domain
E06000050,2019,Average Score,,0.095,c. Employment Deprivation Domain
E06000050,2019,Average Score,,18.849,h. Living Environment Deprivation Domain
E06000050,2019,Average Rank,,15677.96,c. Employment Deprivation Domain
E06000050,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,104,i. Income Deprivation Affecting Children Index (IDACI)
E06000050,2019,Rank of extent,,133,a. Index of Multiple Deprivation (IMD)
E06000050,2019,Rank of average rank,,177,i. Income Deprivation Affecting Children Index (IDACI)
E06000050,2019,Rank of average score,,163,i. Income Deprivation Affecting Children Index (IDACI)
E06000050,2019,Average Score,,0.089,e. Health Deprivation and Disability Domain
E06000050,2019,Rank of average rank,,157,h. Living Environment Deprivation Domain
E06000052,2019,Average Rank,,19195.78,g. Barriers to Housing and Services Domain
E06000052,2019,Rank of average rank,,83,a. Index of Multiple Deprivation (IMD)
E06000052,2019,Rank of average score,,84,g. Barriers to Housing and Services Domain
E06000052,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,200,f. Crime Domain
E06000052,2019,Rank of average rank,,23,h. Living Environment Deprivation Domain
E06000052,2019,Average Rank,,19382.41,a. Index of Multiple Deprivation (IMD)
E06000052,2019,Rank of average score,,126,i. Income Deprivation Affecting Children Index (IDACI)
E06000052,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4816,h. Living Environment Deprivation Domain
E06000052,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0491,b. Income Deprivation Domain
E06000052,2019,Average Score,,0.108,c. Employment Deprivation Domain
E06000052,2019,Rank of average score,,270,f. Crime Domain
E06000052,2019,Rank of local concentration,,123,a. Index of Multiple Deprivation (IMD)
E06000052,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,113,c. Employment Deprivation Domain
E06000052,2019,Scale,,31676.25,c. Employment Deprivation Domain
E06000052,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,121,a. Index of Multiple Deprivation (IMD)
E06000052,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0337,e. Health Deprivation and Disability Domain
E06000052,2019,Rank of scale,,8,c. Employment Deprivation Domain
E06000052,2019,Average Score,,23.072,a. Index of Multiple Deprivation (IMD)
E06000052,2019,Rank of average score,,107,b. Income Deprivation Domain
E06000052,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,122,e. Health Deprivation and Disability Domain
E06000052,2019,Rank of average score,,101,a. Index of Multiple Deprivation (IMD)
E06000052,2019,Extent,,0.1323,a. Index of Multiple Deprivation (IMD)
E06000052,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0337,"d. Education, Skills and Training Domain"
E06000052,2019,Rank of average score,,160,"d. Education, Skills and Training Domain"
E06000052,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,6,h. Living Environment Deprivation Domain
E06000052,2019,Rank of average rank,,91,g. Barriers to Housing and Services Domain
E06000052,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0675,c. Employment Deprivation Domain
E06000052,2019,Rank of average rank,,88,b. Income Deprivation Domain
E06000052,2019, Local concentration,,29411.09,a. Index of Multiple Deprivation (IMD)
E06000052,2019,Average Rank,,8140.28,f. Crime Domain
E06000052,2019,Rank of average score,,11,h. Living Environment Deprivation Domain
E06000052,2019,Average Rank,,18630.49,b. Income Deprivation Domain
E06000052,2019,Rank of average rank,,99,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000052,2019,Rank of extent,,141,a. Index of Multiple Deprivation (IMD)
E06000052,2019,Scale,,71270,b. Income Deprivation Domain
E06000052,2019,Average Rank,,16629.06,"d. Education, Skills and Training Domain"
E06000052,2019,Average Score,,24.726,g. Barriers to Housing and Services Domain
E06000052,2019,Rank of average score,,121,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000052,2019,Average Rank,,17153.84,e. Health Deprivation and Disability Domain
E06000052,2019,Average Score,,0.138,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000052,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0061,f. Crime Domain
E06000052,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,188,"d. Education, Skills and Training Domain"
E06000052,2019,Rank of average score,,124,e. Health Deprivation and Disability Domain
E06000052,2019,Average Rank,,16228.6,j. Income Deprivation Affecting Older People Index (IDAOPI)
